OrderID,OrderDate,CustomerID,SKU,Quantity,Sales
O0002,2025-11-30,C005,NT-001,1,119.7
O0006,2025-10-08,C012,NT-004,2,1656.0
O0009,2025-07-18,C005,NT-013,1,587.2
O0012,2025-07-19,C001,NT-013,1,1037.0
O0013,2025-12-03,C005,NT-004,1,724.0
O0017,2025-12-20,C006,NT-001,1,56.1
O0019,2025-01-14,C004,NT-014,1,905.25
O0021,2025-10-09,C004,NT-005,3,1806.9
O0022,2025-08-15,C010,NT-017,1,672.8
O0026,2025-12-26,C001,NT-003,1,190.8
O0031,2025-07-17,C007,NT-015,1,159.0
O0032,2025-04-29,C002,NT-006,1,352.0
O0034,2025-06-24,C012,NT-006,2,226.0
O0037,2025-12-10,C008,NT-002,4,4416.0
O0038,2025-10-10,C012,NT-010,2,1160.0
O0039,2025-11-14,C002,NT-017,1,889.1
O0042,2025-01-19,C001,NT-004,1,710.0
O0049,2025-10-21,C001,NT-014,1,1259.0
O0051,2025-04-17,C008,NT-017,4,3980.0
O0056,2025-09-19,C002,NT-015,2,214.0
O0062,2025-11-18,C010,NT-007,1,1928.0
O0063,2025-04-14,C008,NT-017,1,765.0
O0066,2025-03-28,C010,NT-002,1,1433.0
O0068,2025-06-01,C003,NT-017,1,812.0
O0070,2025-05-11,C007,NT-006,1,312.0
O0074,2025-11-16,C002,NT-015,1,43.2
O0080,2025-02-03,C009,NT-016,1,135.0
O0081,2025-04-15,C004,NT-017,4,2052.0
O0089,2025-09-27,C004,NT-012,1,105.0
O0090,2025-10-18,C002,NT-018,1,856.0
O0095,2025-09-25,C005,NT-007,2,3236.0
O0097,2025-07-13,C001,NT-009,1,1538.0
O0098,2025-12-04,C007,NT-006,1,114.75
