SaleID,SaleDate,StoreID,SKU,Quantity,Sales,LogRef
Q2-001,03/06/2026,3,  nt-002  ,,"$ 1,544.61",LOG-36018
Q2-001,03/06/2026,3,  nt-002  ,,"$ 1,544.61",LOG-36018
Q2-002,2026-06-21,2,NT-004,1,1031.35,LOG-86429
,,,,,,
Q2-003,2026-05-11,2,NT-002,1,758.77,LOG-15317
Q2-004,2026-04-09,2,NT-003,1,1416.65,LOG-46066
Q2-005,2026-04-28,4,NT-004,3,3138.74,LOG-98099
Q2-006,2026-05-11,4,NT-006,2,234.13,LOG-14126
Q2-007,2026-05-06,1,  nt-005  ,3,1599.01,LOG-84787
Q2-008,2026-05-16,1,NT-003,3,4108.41,LOG-69615
Q2-009,25/04/2026,3,NT-001,1,976.95,LOG-16152
Q2-010,2026-06-20,4,NT-001,1,$ 962.03,LOG-95857
Q2-011,2026-06-21,1,NT-003,3,4136.36,LOG-72277
Q2-012,2026-05-03,1,NT-002,2,1523.67,LOG-14741
Q2-012,2026-05-03,1,NT-002,2,1523.67,LOG-14741
Q2-013,2026-04-23,3,  nt-002  ,2,1524.44,LOG-78212
Q2-014,2026-06-04,2,NT-005,,1081.39,LOG-39350
Q2-015,2026-04-12,4,NT-004,1,1038.61,LOG-35805
Q2-016,2026-06-20,4,NT-001,3,2867.77,LOG-75883
Q2-017,14/05/2026,3,NT-004,3,3291.18,LOG-22971
Q2-018,2026-06-22,1,NT-006,1,119.23,LOG-61147
Q2-019,2026-04-12,3,  nt-003  ,2,"$ 2,971.01",LOG-12051
Q2-020,2026-05-15,1,NT-005,1,518.31,LOG-82129
Q2-021,2026-05-24,4,NT-003,1,1381.82,LOG-18396
Q2-022,2026-05-25,2,NT-001,3,2797.7,LOG-28415
Q2-023,2026-05-31,4,NT-002,2,1530.72,LOG-21275
Q2-023,2026-05-31,4,NT-002,2,1530.72,LOG-21275
Q2-024,2026-04-29,3,NT-004,3,3152.44,LOG-31541
Q2-025,06/06/2026,3,  nt-005  ,2,1061.91,LOG-89879
Q2-026,2026-04-27,2,NT-003,3,4283.04,LOG-85102
Q2-027,2026-06-03,4,NT-002,,2184.69,LOG-10646
Q2-028,2026-06-17,1,NT-004,3,"$ 3,286.91",LOG-77635
Q2-029,2026-05-22,1,NT-005,2,998.44,LOG-31859
Q2-030,2026-04-09,4,NT-005,2,1089.3,LOG-62973
Q2-031,2026-05-05,4,  nt-002  ,2,1458.49,LOG-66842
Q2-032,2026-05-31,3,NT-005,1,504.61,LOG-90988
Q2-033,04/04/2026,2,NT-003,3,4397.75,LOG-12986
Q2-034,2026-04-05,2,NT-002,1,720.05,LOG-47235
Q2-034,2026-04-05,2,NT-002,1,720.05,LOG-47235
Q2-035,2026-05-12,3,NT-006,1,124.09,LOG-23747
Q2-036,2026-06-03,1,NT-006,3,372.43,LOG-35916
Q2-037,2026-06-29,4,  nt-005  ,1,$ 514.73,LOG-64185
Q2-038,2026-06-07,2,NT-005,3,1515.94,LOG-92747
Q2-039,2026-06-08,2,NT-006,3,356.67,LOG-81164
Q2-040,2026-06-18,2,NT-005,,544.32,LOG-92298
Q2-041,15/05/2026,3,NT-002,3,2232.8,LOG-35517
Q2-042,2026-04-28,1,NT-002,1,790.13,LOG-27372
Q2-043,2026-04-12,4,  nt-003  ,1,1414.28,LOG-65263
Q2-044,2026-06-09,2,NT-006,1,121.3,LOG-99812
Q2-045,2026-04-03,2,NT-001,3,2901.81,LOG-57359
Q2-045,2026-04-03,2,NT-001,3,2901.81,LOG-57359
